id,status,priority,type,target_site,source_url,target_url,anchor,content_asset,notes
BL-017,CHO_VIET,2,guest_post,Local PR Bai 3,,https://thongtaccongquangninh.com/thong-tac-cong-nha-hang-ha-long/,xu ly tac cong nha hang Ha Long,pr_topic_nha_hang,"Chu de: nha hang Bai Chay tac ong bep cuoi tuan"
BL-018,CHO_VIET,2,guest_post,Local PR Bai 4,,https://thongtaccongquangninh.com/xu-ly-mui-hoi-quang-ninh/,xu ly mui hoi nha ve sinh,pr_topic_mui_hoi,"Chu de: mui hoi nha ve sinh chung cu Ha Long"
BL-019,CHO_VIET,2,guest_post,Local PR Bai 5,,https://thongtaccongquangninh.com/nao-vet-ho-ga-quang-ninh/,nao vet ho ga Quang Ninh,pr_topic_ho_ga,"Chu de: nao vet ho ga sau mua lon tai Cam Pha Uong Bi"
BL-020,CHO_AUDIT,1,risk_cleanup,Tai-ji forum,https://www.tai-ji.net/board/board_topic/4160148/8160918.htm,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,cleanup,"Backlink hien co dang forum; can theo doi GSC, neu nhieu domain tuong tu thi xem xet go/disavow"
BL-021,CHO_AUDIT,1,risk_cleanup,Sunemall forum,https://www.sunemall.com/board/board_topic/8431232/8160832.htm,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,cleanup,"Backlink hien co co loi ma tieng Viet; khong nhan rong"
BL-022,CHO_AUDIT,2,risk_cleanup,LeetCode profile,https://leetcode.com/u/halongxanh/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,cleanup,"Profile khong lien quan nganh; chi theo doi, khong tao them"
BL-023,DA_GUI_CHO_DUYET,1,business_directory,Mapstore,https://mapstore.vn/dang-ky-doanh-nghiep,https://thongtaccongquangninh.com/,Moi Truong Do Thi So 1 Quang Ninh,profile_long,"Da submit API 2026-05-08; registrationId cd611772-62c2-4eb3-95f2-e125e38de5f7; trackingToken jcZ8fj3JwGpskAmTbDuf_6c-jk-GVRgKeRF2U-ENzYM; dia chi 111 Cai Lan Bai Chay Ha Long Quang Ninh; cho duyet 2-3 ngay lam viec"
BL-024,TAI_KHOAN_DA_TAO_CAN_UPLOAD_ANH,3,forum_directory,MuabanVN,https://muabanvn.net/register/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,forum_profile,"Da tao tai khoan bang Google 2026-05-08; username MoiTruongDoThiQN; form Link Directory Business da dien title URL description nhung bi chan vi bat buoc upload it nhat 1 anh; chua co backlink live"
BL-025,BI_CHAN_CAPTCHA,3,forum,Gia Xay Dung,https://giaxaydung.vn/register/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,forum_profile,"Trang dang ky co cau hoi captcha va yeu cau thong tin ca nhan; khong submit tu dong"
BL-026,BI_CHAN_CAPTCHA,3,forum,Web Vat Gia,https://webvatgia.com/register/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,forum_profile,"Trang dang ky XenForo co cau hoi captcha; khong submit tu dong"
BL-027,BI_CHAN_CAPTCHA,3,forum,VietDesigner Forum,https://forum.vietdesigner.net/register/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,forum_profile,"Trang dang ky XenForo co cau hoi captcha; khong submit tu dong"
BL-028,BI_CHAN_CAPTCHA,3,forum,Dien Dan Viec Lam,https://diendanvieclam.com/register/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,forum_profile,"Trang dang ky XenForo co h-captcha; khong tu vuot captcha; backlink forum khong uu tien SEO"
