date,time,task_id,task_type,keyword,url,slug,status,difficulty,internal_score_before,internal_score_after,rank_math_before,rank_math_after,action_done,files_changed,issues,next_action,agent_note,review_status,reviewed_by,reviewed_at,review_report,review_report_json,review_report_md,review_log_path
2026-06-02,08:17,AUTO-SEO-SANG-2026-06-02,content_seo,hút bể phốt khẩn cấp Quảng Ninh,https://thongtaccongquangninh.com/hut-be-phot-khan-cap-quang-ninh-2026/,hut-be-phot-khan-cap-quang-ninh-2026,published,medium,,91,,,Pipeline auto: hut-be-phot-khan-cap-quang-ninh-2026; WP ID=2430; 3 anh; indexed=yes,content-drafts/blog/hut-be-phot-khan-cap-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2430,Keyword #1 sang; WP 201 OK; 3 anh WebP; Google Index sent,NOT_REQUIRED,auto,2026-06-02,,,,
2026-06-02,14:10,AUTO-SEO-CHIEU-2026-06-02,content_seo,hút bể phốt 24/7 Quảng Ninh,https://thongtaccongquangninh.com/hut-be-phot-24-7-quang-ninh-2026/,hut-be-phot-24-7-quang-ninh-2026,published,medium,,93,,,Pipeline auto: hut-be-phot-24-7-quang-ninh-2026; WP ID=2439; 3 anh; indexed=yes,content-drafts/blog/hut-be-phot-24-7-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2439,Keyword #2 chieu; WP 201 OK,NOT_REQUIRED,auto,2026-06-02,,,,
2026-06-02,14:10,AUTO-SEO-CHIEU-2026-06-02,content_seo,hut be phot 24/7 Quang Ninh,https://thongtaccongquangninh.com/hut-be-phot-24-7-quang-ninh-2026/,hut-be-phot-24-7-quang-ninh-2026,published,medium,,93,,,Pipeline auto: hut-be-phot-24-7-quang-ninh-2026; WP ID=2439; 3 anh; indexed=yes,content-drafts/blog/hut-be-phot-24-7-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2439,Keyword #2 chieu 02/06; WP 201 OK,NOT_REQUIRED,auto,2026-06-02,,,,
2026-06-02,14:10,AUTO-SEO-CHIEU-2026-06-02,content_seo,hut be phot 24/7 Quang Ninh,https://thongtaccongquangninh.com/hut-be-phot-24-7-quang-ninh-2026/,hut-be-phot-24-7-quang-ninh-2026,published,medium,,93,,,Pipeline auto: hut-be-phot-24-7-quang-ninh-2026; WP ID=2439; 3 anh; indexed=yes,content-drafts/blog/hut-be-phot-24-7-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2439,Keyword #2 chieu 02/06; WP 201 OK,NOT_REQUIRED,auto,2026-06-02,,,,
2026-06-02,14:10,AUTO-SEO-CHIEU-2026-06-02,content_seo,hut be phot 24/7 Quang Ninh,https://thongtaccongquangninh.com/hut-be-phot-24-7-quang-ninh-2026/,hut-be-phot-24-7-quang-ninh-2026,published,medium,,93,,,Pipeline auto: hut-be-phot-24-7-quang-ninh-2026; WP ID=2439; 3 anh; indexed=yes,content-drafts/blog/hut-be-phot-24-7-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2439,Keyword #2 chieu 02/06; WP 201 OK,NOT_REQUIRED,auto,2026-06-02,,,,
2026-06-03,18:45,PLUGIN-SEO-CONTACT-BLOCK,technical_seo,seo contact block local geo,https://thongtaccongquangninh.com/,all-singular-public,completed,low,,,,,"Tao plugin ttcqn-seo-contact-block v2026.06.03.1: the_content filter priority 99 + ob_start fallback cho page 296; CSS enqueue; 24/24 checks PASS","tools/wp-plugins/ttcqn-seo-contact-block/ttcqn-seo-contact-block.php|assets/seo-contact-block.css|tools/upload_seo_contact_block_plugin.mjs",,Deploy: node tools/upload_seo_contact_block_plugin.mjs tu Windows,Schema LocalBusiness da co trong ttcqn-doorway-schema - khong them trung,NOT_REQUIRED,,,,,,
2026-06-03,11:59,SITEWIDE-SEO-AUDIT-PLAN-2026-06-03,audit_plan,toan website seo,https://thongtaccongquangninh.com/,sitewide-seo-audit-plan,planned,medium,,,,,Lap plan audit SEO toan website sau khi doc AGENTS/CODEX_CONTEXT/TASKS/PROJECT_STATE/SEO_STATUS/AUDIT/SEO reports; phat hien live hien tai HTTP 500 nen dat khoi phuc live lam P0,reports/sitewide-seo-audit-plan-2026-06-03.md,Live dang HTTP 500 tren home/sitemap/REST nen chua chay audit moi sau outage,Khoi phuc HTTP 500 roi chay lai collect_wp_url_audit_list/audit_seo_full/structured_data/image/GSC audit,Da verify curl home sitemap wp-json deu 500; robots 200; plan chi read-only va khong sua live,REVIEW_REQUIRED,Codex,2026-06-03,reports/sitewide-seo-audit-plan-2026-06-03.md,,reports/sitewide-seo-audit-plan-2026-06-03.md,
2026-06-03,12:08,HTTP-500-RECOVERY-ATTEMPT-2026-06-03,live_recovery,http 500 wordpress,https://thongtaccongquangninh.com/,http-500-recovery-attempt,blocked,high,,,,,Thu kiem tra va khoi phuc P0: xac nhan live 500 toan WordPress; nghi plugin ttcqn-seo-contact-block vi upload/activate dung moc 10:58-11:04; REST/MCP/WP login deu 500 nen khong the deactivate tu workspace,reports/http-500-recovery-attempt-2026-06-03.md,Khong co SSH/SFTP/FTP/cPanel trong env/repo; workspace khong co WordPress core; can quyen filesystem hosting hoac recovery email,Doi ten hosting wp-content/plugins/ttcqn-seo-contact-block thanh ttcqn-seo-contact-block.disabled roi verify home/wp-json/sitemap 200,Da test REST deactivate 500; wp-login critical error; robots 200; php -l plugin pass; zip plugin hop le; structured-data audit now FAIL dung khi HTTP 500,REVIEW_REQUIRED,Codex,2026-06-03,reports/http-500-recovery-attempt-2026-06-03.md,,reports/http-500-recovery-attempt-2026-06-03.md,
2026-06-03,12:17,HTTP-500-RECOVERY-COMPLETE-2026-06-03,live_recovery,http 500 wordpress,https://thongtaccongquangninh.com/,http-500-recovery,completed,high,,,,,Dung OnePanel MCP backup va doi ten plugin ttcqn-seo-contact-block bi null byte; WordPress live phuc hoi 200,reports/sitewide-seo-audit-execution-2026-06-03.md; public_html/wp-content/plugins/ttcqn-seo-contact-block-backup-20260603-121712.zip,Plugin remote ttcqn-seo-contact-block.php loi parse unexpected 0x00 line 192; FTP cu fail auth,Xu ly duplicate title pair thong-tac-bon-cau-khan-cap,Verify home/wp-json/sitemap/wp-login 200; structured data 88 PASS; plugin deactivated bang rename reversible,FIXED,Codex,2026-06-03,reports/sitewide-seo-audit-execution-2026-06-03.md,,reports/sitewide-seo-audit-execution-2026-06-03.md,
2026-06-03,12:25,P1-SEO-FIX-NHA-HANG-POST-2412,onpage_seo,thong tac bon cau nha hang Quang Ninh,https://thongtaccongquangninh.com/thong-tac-bon-cau-nha-hang-quang-ninh-2026/,thong-tac-bon-cau-nha-hang-quang-ninh-2026,completed,high,48,83,,,"Sua link gay, multi H1, H2 Nguyen nhan, meta description, tu cam; backup truoc/sau local",seo-revisions/wp-before-p1-nha-hang-20260603T052416Z; reports/seo-full-audit-2026-06-03.md,"Con TITLE_LONG(76), WORD_ABOVE_TARGET(3078), MISSING_SERVICE, slug co 2026",Xu ly duplicate title pair thong-tac-bon-cau-khan-cap,Re-audit full: broken internal links 0; URL target score 83; structured data URL PASS,FIXED,Codex,2026-06-03,reports/sitewide-seo-audit-execution-2026-06-03.md,reports/seo-full-audit-2026-06-03.json,reports/seo-full-audit-2026-06-03.md,
2026-06-03,12:30,SEO-DRAFT-PUBLIC-REVIEW-2026-06-03,audit_publish_gate,cac bai SEO chua public,https://thongtaccongquangninh.com/,seo-draft-public-review,completed,medium,,95,,,"Kiem 68 item WP non-public va 13 draft SEO active; 13/13 pass SEO nhung deu da public qua route live nen khong publish them de tranh duplicate",reports/seo-unpublished-public-review-2026-06-03.md,"Khong public them vi cac URL goc dang 301 sang ban live; image audit con 2 page phap ly thieu anh, khong lien quan draft SEO",Chuan hoa slug/canonical cac URL -2/-3/-4 neu can,Home/REST/sitemap 200; collect inventory 88 publish; live verify 13 route 200 indexable; image audit read-only,PASS,Codex,2026-06-03,reports/seo-unpublished-public-review-2026-06-03.md,,reports/seo-unpublished-public-review-2026-06-03.md,
2026-06-03,12:43,AUTHOR-BOX-NSH-PUBLISHED-POSTS-2026-06-03,onpage_schema,author box Nguyen Song Hao,https://thongtaccongquangninh.com/blog/,published-seo-posts,completed,medium,,,,,"Quet 88 URL publish; backup va chen byline + author box + JSON-LD BlogPosting cho 31 post publish dung post_content; 31/31 public HTML 200 co marker/byline/box/schema author","tools/insert_author_nguyen_song_hao.mjs WORDPRESS_AUTHOR_NGUYEN_SONG_HAO_2026-06-03T05-40-02-788Z.json seo-revisions/wp-before-author-nguyen-song-hao-2026-06-03T05-40-02-788Z docs/SEO_PROGRESS.csv","Bo qua 45 page publish do co nguy co renderer/option/plugin custom va 12 category sitemap-only khong co REST post_content",Xu ly duplicate title cap thong-tac-bon-cau-khan-cap neu can,"Dry-run OK; author profile 200; apply report OK; backup 31 files; node --check OK",NOT_REQUIRED,Codex,2026-06-03,,WORDPRESS_AUTHOR_NGUYEN_SONG_HAO_2026-06-03T05-40-02-788Z.json,,
2026-06-03,12:59,FIX-DUP-TITLE-KHAN-CAP-BON-CAU-2026-06-03,onpage_seo,thong tac bon cau khan cap Quang Ninh,https://thongtaccongquangninh.com/thong-tac-bon-cau-khan-cap-quang-ninh/,thong-tac-bon-cau-khan-cap-quang-ninh,completed,medium,,,,,"Backup 2 post; chuan hoa title/meta/Rank Math/schema author cho post publish 2377; doi title draft 2378 de khong bi audit nham duplicate; URL -2 giu 301 ve canonical","tools/fix_khan_cap_duplicate_title_2026_06_03.mjs reports/khan-cap-duplicate-title-apply-2026-06-03T05-57-54-035Z.json seo-revisions/wp-before-khan-cap-duplicate-title-2026-06-03T05-57-54-035Z wp-url-audit-list.json WP_URL_AUDIT_REPORT_2026-06-03.md docs/SEO_PROGRESS.csv","Con 2 cap title similar khac trong report: gioi-thieu/lien-he va thong-tac-bon-cau-dong-trieu/quang-yen",Xu ly cap similar thong-tac-bon-cau-dong-trieu/quang-yen neu can,"Dry-run OK; apply OK; public 200 title 62 meta 155 canonical OK schema author updated; URL -2 301 ve canonical; inventory duplicateGroups=0 va NO_KHAN_CAP",FIXED,Codex,2026-06-03,reports/khan-cap-duplicate-title-apply-2026-06-03T05-57-54-035Z.json,reports/khan-cap-duplicate-title-apply-2026-06-03T05-57-54-035Z.json,,
2026-06-03,13:02,SEO-SLUG-NORMALIZE-PUBLIC-2026-06-03,technical_seo,cac bai SEO da public,https://thongtaccongquangninh.com/,normalized-suffix-public-posts,completed,medium,,,,,"Chuan hoa 12 URL public tu hau to -2/-3/-4 ve slug sach; sua redirect plugin; thay 25 URL schema cu; verify 12/12 PASS","tools/normalize_suffix_slugs_2026_06_03.mjs tools/normalize_suffix_schema_urls_2026_06_03.mjs tools/verify_normalized_suffix_urls_2026_06_03.mjs tools/wp-plugins/ttcqn-seo-cleanup-redirects/ttcqn-seo-cleanup-redirects.php reports/slug-normalization-completion-2026-06-03.md","Con 2 cap title similar va 2 trang phap ly thieu anh ngoai scope",Xu ly cap title similar thong-tac-bon-cau-dong-trieu/quang-yen neu can,"php -l OK; node --check OK 3 script; upload plugin redirect success; verify normalized suffix 12/12 PASS; URL audit duplicateGroups=0; image audit chi con 2 page phap ly thieu anh",PASS,Codex,2026-06-03,reports/slug-normalization-completion-2026-06-03.md,reports/normalized-suffix-verify-2026-06-03T05-59-45-651Z.json,reports/normalized-suffix-verify-2026-06-03T05-59-45-651Z.md,reports/slug-normalization-completion-2026-06-03.md
2026-06-03,13:14,FIX-TITLE-SIM-DONGTRIEU-QUANGYEN-2026-06-03,onpage_seo,thong tac bon cau Dong Trieu Quang Yen,https://thongtaccongquangninh.com/thong-tac-bon-cau-dong-trieu/,dongtrieu-quangyen-title-similarity,completed,medium,,,,,"Tach title/meta/H1/schema cho cap thong-tac-bon-cau-dong-trieu va thong-tac-bon-cau-quang-yen theo intent dia phuong rieng; cap nay khong con trong similarPairs","tools/fix_dong_trieu_quang_yen_title_similarity_2026_06_03.mjs reports/dongtrieu-quangyen-title-similarity-completion-2026-06-03.md seo-revisions/wp-before-dongtrieu-quangyen-title-2026-06-03T06-10-36-191Z seo-revisions/wp-before-dongtrieu-quangyen-title-2026-06-03T06-12-15-743Z WP_URL_AUDIT_REPORT_2026-06-03.md","Con 1 cap title similar ngoai scope: gioi-thieu/lien-he",Xu ly cap gioi-thieu/lien-he neu can,"node --check OK; dry-run dung 2 page; apply content/schema 2/2; apply Rank Math 2/2; live title/meta/H1/canonical/robots OK; URL audit duplicateGroups=0 similarPairs=1",PASS,Codex,2026-06-03,reports/dongtrieu-quangyen-title-similarity-completion-2026-06-03.md,reports/dongtrieu-quangyen-title-fix-2026-06-03T06-12-15-743Z.json,reports/dongtrieu-quangyen-title-fix-2026-06-03T06-12-15-743Z.md,reports/dongtrieu-quangyen-title-similarity-completion-2026-06-03.md
2026-06-03,13:26,FIX-TITLE-SIM-GIOITHIEU-LIENHE-2026-06-03,onpage_seo,gioi thieu lien he,https://thongtaccongquangninh.com/gioi-thieu/,gioithieu-lienhe-title-similarity,completed,medium,,,,,"Tach title/meta/H1 cho cap gioi-thieu va lien-he; sua meta lien-he bi cat cut; upload lai SEO cleanup plugin de title override public dung","tools/fix_gioi_thieu_lien_he_title_similarity_2026_06_03.mjs tools/wp-plugins/ttcqn-seo-cleanup-redirects/ttcqn-seo-cleanup-redirects.php reports/gioithieu-lienhe-title-similarity-completion-2026-06-03.md seo-revisions/wp-before-gioithieu-lienhe-title-2026-06-03T06-22-06-479Z WORDPRESS_SEO_CLEANUP_REDIRECTS_UPLOAD_2026-06-03T06-23-21-480Z.json","Khong con cap title similar trong audit URL; image audit truoc do van co 2 trang phap ly thieu anh",Danh gia rieng viec co can them anh cho trang phap ly hay khong,"php -l OK; node --check OK; dry-run dung 2 page; apply content/excerpt 2/2 va Rank Math 2/2; plugin upload success; publicVerified=2/2; live title/meta/H1/canonical/robots OK; URL audit duplicateGroups=0 similarPairs=0",PASS,Codex,2026-06-03,reports/gioithieu-lienhe-title-similarity-completion-2026-06-03.md,reports/gioithieu-lienhe-title-fix-2026-06-03T06-22-06-479Z.json,reports/gioithieu-lienhe-title-fix-2026-06-03T06-23-39-652Z.json,reports/gioithieu-lienhe-title-similarity-completion-2026-06-03.md
2026-06-03,13:22,FIX-GSC-COVERAGE-404-REDIRECT-2026-06-03,technical_seo,gsc coverage redirect 404,https://thongtaccongquangninh.com/,gsc-coverage-404-redirect,completed,high,,,,,"Them 16 redirect 301 cho URL legacy 404; upload lai plugin SEO cleanup redirects; sua 2 audit tool WSL-safe; re-audit Coverage local","tools/wp-plugins/ttcqn-seo-cleanup-redirects/ttcqn-seo-cleanup-redirects.php tools/audit_gsc_404_redirect.mjs tools/audit_live_links_assets.mjs reports/gsc-coverage-fix-2026-06-03.md backups/ttcqn-seo-cleanup-redirects-before-gsc-coverage-2026-06-03.zip WORDPRESS_SEO_CLEANUP_REDIRECTS_UPLOAD_2026-06-03T05-58-37-662Z.json","GSC UI van can bam Validate fix; audit_live_links_assets full bi cham o target check nen dung sitemap/internal-link/structured-data verify thay the",Validate fix trong Search Console cho cac nhom Coverage,"GSC redirect audit sau sua: 404=0 chain=0 redirect 1 buoc=26; sitemap 88 URL issues=0; robots 200 chi chan wp-admin; structured data PASS 88 WARN 0 FAIL 0; URL audit restOnly=0 duplicate=0 similar=0",PASS,Codex,2026-06-03,reports/gsc-coverage-fix-2026-06-03.md,reports/gsc-404-redirect-audit-2026-06-03T06-00-42.json,reports/gsc-coverage-fix-2026-06-03.md,reports/gsc-coverage-fix-2026-06-03.md
2026-06-03,13:34,P1-ONPAGE-CLEANUP-BATCH-2026-06-03,onpage_seo,p1 title meta h1 h2 cleanup,https://thongtaccongquangninh.com/,p1-onpage-cleanup-batch,completed,high,56-64,86-100,,,"Sua 5 URL P1 title meta H1 H2 NAP va go metadata SEO ro frontend; sua alt logo global bo tu cam; update Rank Math va upload renderer","seo-revisions/wp-before-chi-phi-title-dedupe-20260603T061000Z seo-revisions/wp-before-p1-bon-cau-nha-dan-20260603T062000Z seo-revisions/wp-before-p1-bon-cau-khong-duc-pha-20260603T063000Z seo-revisions/wp-before-p1-hut-be-phot-khan-cap-20260603T064000Z seo-revisions/wp-before-p1-bon-cau-khach-san-20260603T065000Z tools/wp-plugins/ttcqn-home-emergency-renderer/ttcqn-home-emergency-renderer.php tools/wp-plugins/ttcqn-home-emergency-renderer/templates/page-home-direct.php reports/p1-onpage-cleanup-batch-2026-06-03.md","Con MISSING_SERVICE 20 URL va H2 Nguyen nhan 12 URL",Sua URL score thap tiep theo gia-hut-be-phot-quang-ninh-2026,"Final audit: duplicate title 0; broken internal link 0; chi-phi score 100; 4 post P1 moi dat 86-89; renderer live 2026.06.03.1",PASS,Codex,2026-06-03,reports/p1-onpage-cleanup-batch-2026-06-03.md,reports/seo-full-audit-2026-06-03.json,reports/seo-full-audit-2026-06-03.md,reports/p1-onpage-cleanup-batch-2026-06-03.md
2026-06-03,10:55,AUTO-SEO-SANG-2026-06-03,content_seo,giá hút bể phốt Quảng Ninh,https://thongtaccongquangninh.com/gia-hut-be-phot-quang-ninh-2026/,gia-hut-be-phot-quang-ninh-2026,published,medium,,93,,,Pipeline auto: gia-hut-be-phot-quang-ninh-2026; WP ID=2449; 3 anh; indexed=yes,content-drafts/blog/gia-hut-be-phot-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2449,Keyword #3 sang; WP 201 OK; 3 anh WebP; Google Indexing API OK,NOT_REQUIRED,auto,2026-06-03,,,,
2026-06-03,16:57,AUTO-SEO-CHIEU-2026-06-03,content_seo,bảng giá hút bể phốt Quảng Ninh,https://thongtaccongquangninh.com/bang-gia-hut-be-phot-quang-ninh-2026-3/,bang-gia-hut-be-phot-quang-ninh-2026,published,medium,,92,,,Pipeline auto: bang-gia-hut-be-phot-quang-ninh-2026; WP ID=2519; 3 anh; indexed=yes,content-drafts/blog/bang-gia-hut-be-phot-quang-ninh-2026.md,,Kiem tra Rank Math WP Admin post 2519,Keyword #4 chieu; WP 201 OK; 3 anh WebP upload thanh cong; Google Indexing API OK,NOT_REQUIRED,auto,2026-06-03,,,,
